Frequenz (Hz)	Pegel (dB)
748,951721	-78,393555
749,624634	-79,741600
750,297546	-80,395172
750,970459	-79,904671
751,643372	-79,564400
752,316284	-79,575851
752,989197	-79,651726
753,662109	-79,903297
754,335022	-80,608147
755,007935	-80,803185
755,680847	-80,897713
756,353760	-80,758347
757,026672	-80,747528
757,699585	-81,338219
758,372498	-81,754295
759,045410	-81,714691
759,718323	-82,498207
760,391235	-83,805191
761,064148	-84,906525
761,737061	-86,245987
762,409973	-86,697586
763,082886	-86,536255
763,755798	-87,419395
764,428711	-87,143364
765,101624	-85,150513
765,774536	-86,330238
766,447449	-88,909515
767,120361	-91,673096
767,793274	-91,803238
768,466187	-92,815575
769,139099	-94,227036
769,812012	-92,836517
770,484924	-91,541183
771,157837	-90,325279
771,830750	-90,800697
772,503662	-88,836090
773,176575	-89,025528
773,849487	-88,533302
774,522400	-87,527908
775,195313	-87,799110
775,868225	-88,016479
776,541138	-89,428078
777,214050	-88,644508
777,886963	-90,166801
778,559875	-90,364456
779,232788	-90,930786
779,905701	-88,903008
780,578613	-87,714127
781,251526	-86,946693
781,924438	-85,094215
782,597351	-82,703537
783,270264	-82,060844
783,943176	-82,721176
784,616089	-81,846947
785,289001	-82,912689
785,961914	-85,139069
786,634827	-86,805138
787,307739	-87,980484
787,980652	-85,092567
788,653564	-82,535278
789,326477	-81,679703
789,999390	-80,379051
790,672302	-79,756157
791,345215	-78,613617
792,018127	-78,748680
792,691040	-78,277420
793,363953	-77,066803
794,036865	-76,551216
794,709778	-76,864281
795,382690	-77,801689
796,055603	-78,456329
796,728516	-78,896690
797,401428	-78,927887
798,074341	-79,055008
798,747253	-79,950920
799,420166	-79,179733
800,093079	-79,492226
800,765991	-79,438217
801,438904	-77,832542
802,111816	-77,014168
802,784729	-77,371971
803,457642	-76,601891
804,130554	-76,345406
804,803467	-77,328262
805,476379	-77,919579
806,149292	-78,398079
806,822205	-79,071129
807,495117	-79,292564
808,168030	-79,087021
808,840942	-78,661636
809,513855	-79,089470
810,186768	-79,666374
810,859680	-79,283768
811,532593	-77,566269
812,205505	-77,507332
812,878418	-77,716141
813,551331	-77,387451
814,224243	-76,089905
814,897156	-76,725311
815,570068	-78,116829
816,242981	-78,003403
816,915894	-77,603180
817,588806	-78,108391
818,261719	-77,314568
818,934631	-77,884911
819,607544	-78,640480
820,280457	-76,969185
820,953369	-75,772606
821,626282	-75,088181
822,299194	-75,284119
822,972107	-76,103127
823,645020	-76,181618
824,317932	-76,079247
824,990845	-77,717934
825,663757	-79,531174
826,336670	-80,179031
827,009583	-79,626793
827,682495	-79,369537
828,355408	-79,426842
829,028320	-78,242867
829,701233	-77,734756
830,374146	-78,705925
831,047058	-78,864426
831,719971	-76,702606
832,392883	-73,606194
833,065796	-71,611649
833,738708	-70,787048
834,411621	-70,094124
835,084534	-69,655029
835,757446	-69,678314
836,430359	-69,953362
837,103271	-70,197250
837,776184	-70,289772
838,449097	-70,296967
839,122009	-70,036324
839,794922	-70,612312
840,467834	-72,058044
841,140747	-72,656013
841,813660	-70,927895
